repeat_enabled,ad_audience,caption,platform_override,drive_folder_link,title,scheduled_date,template_tag,ad_budget,content_type,video_example_notes,client,ad_start_date,hook_1,hook_2,ad_script,video_example_url,hook_3,brief,ad_end_date,form_questions,comments,editing_notes,format,video_example_title,is_recurring_instance,lead_type,repeat_frequency,planning_meeting,status,id,created_date,updated_date,created_by_id,created_by,is_sample
"false","","","","","Inventory ad","2026-04-23","Ad","","Ad","","69d3590666100092a3240270","","","","","","","Hook:

- Skip the searching , we’ll match you with the right car.
- With over 100 quality used cars, why not start your search here?
- Your next car is here… you just haven’t found it yet.

Offer/ Body:

At Ralph D’Silva Used Cars, we offer one of the largest ranges of quality pre-owned vehicles in Melbourne’s northern suburbs.

We stock a wide selection of reliable used cars, with options to suit every lifestyle and budget. 

With finance options available and vehicles ready to drive away, we make the process simple from start to finish.

Backed by years of experience, our team is here to help you find the right car, not just any car.

CTA: 

Tell us what you’re looking for in the short form below, and we’ll guide you through the process.","","","[]","","Ad","","false","","","","Planned","69e708fd78fce1ddfcf7b462","2026-04-21T05:19:57.505000","2026-04-21T05:19:57.505000","anonymous","anonymous","false"
"false","","","","","Car buying ad","2026-04-23","Ad","","Ad","","69d3590666100092a3240270","","","","","","","Car buying ad:
Hook:

- Don’t have the time or energy to sell your car? We’ll take it off your hands.
- We’re actively looking to buy quality used cars… like yours.
- We don’t just sell cars, we also buy quality used cars like yours.
- It’s time to move on… from your old car

Body/ offer: 

If you have a low-kilometre, late model vehicle with a solid service history, we wanna hear from you.

We keep things simple. 

No time wasters, no back and forth, and no dealing with strangers. 

Just a smooth, straightforward process handled by a trusted dealership from start to finish.

Whether you’re upgrading, downsizing, or just curious, we make selling your car seamless.

CTA:

If this sounds like you, fill out our short form below, 

which takes less than a minute to complete, 

and a member of our team will be in touch with you shortly.","","","[]","","Ad","","false","","","","Planned","69e708d95cec9c7dc7e3c30e","2026-04-21T05:19:21.383000","2026-04-21T05:19:21.383000","anonymous","anonymous","false"
"false","","","","","New Arrival - Ora 5","2026-05-21","","","Car of the Week","","69d3590666100092a324027c","","","","","","","Hook:
Stop scrolling the all-new GWM ORA 5 is coming soon, and it’s bringing big EV energy!

Body:

If you’ve been waiting for an EV that looks fun, feels practical, and actually fits real life, this is one to watch. 

The ORA 5 is a next-generation compact electric crossover with a 150kW motor, up to 435km driving range, fast-charging capability, and Vehicle-to-Load so it can power more than just your commute. 

Coming soon to Werribee GWM so yes, this is your official stock alert to get in early.

CTA:
Register your interest with Werribee GWM Haval today and be first in line for the ORA 5.

📹 VIDEO SHOT LIST

Shot 1:
Presenter hook full frame with “new stock alert” text popping on screen beside ORA 5 visuals.

Shot 2:
Hero exterior shot of the ORA 5 showing the front end and compact crossover shape.

Shot 3:
Quick-cut B-roll of the lights, wheels, side profile, and charging visual.

Shot 4:
Interior and proof shots highlighting the tech-focused cabin and EV lifestyle visuals.

Shot 5:
Presenter CTA walking toward camera with on-screen text: “Register your interest now.”","","","[]","","Reel","","false","","","","Planned","69e6cfe5c1d72f8cca6a0892","2026-04-21T01:16:21.161000","2026-04-21T01:16:21.161000","anonymous","anonymous","false"
"false","","","","","2024 GWM Haval H6 Premium Auto Used","2026-05-19","Car of the Week","","Car of the Week","","69d3590666100092a324027c","","","","","","","Hook:
If you’ve been waiting for the right SUV to pop up, this might be your sign the 2024 Haval H6 Premium, drive away at $27,990.

Body:
If you want an SUV that looks sharp, feels modern, and makes everyday driving easy, this H6 Premium is well worth a look. 

It’s got the smoothness of an automatic, a 2.0L petrol engine, room for five, 18-inch alloys, and with just 2,333km on the clock, it’s barely getting started. 

At $27,990 drive away, this week’s pick makes upgrading feel like a pretty easy decision.

CTA:
Enquire Now at Werribee GWM before someone else beats you to this H6 Premium.

📹 VIDEO SHOT LIST

Shot 1:
Presenter hook full frame in front of the green Haval H6 Premium with “Car of the Week” energy.

Shot 2:
Hero exterior rolling shot and front three-quarter angle showing the green paint and SUV stance.

Shot 3:
Quick-cut B-roll of the wheels, side profile, badge, rear end, and the H6 driving past.

Shot 4:
Interior and proof shots of the cabin, front seats, steering wheel, screens, and odometer showing the low kilometres.

Shot 5:
Presenter CTA walking toward camera with the H6 behind.","","","[]","","Reel","","false","","","","Planned","69e6ced8414d0e676889f547","2026-04-21T01:11:52.895000","2026-04-21T01:11:52.895000","anonymous","anonymous","false"
"false","","","","","Trendy TikTok Reel","2026-05-14","Trendy TikTok Reel","","Trendy TikTok Reel","","69d3590666100092a324027c","","","","","","","https://www.tiktok.com/@romanoautodealerships7/video/7570157353153105165?is_from_webapp=1&sender_device=pc&web_id=7626554252194973191 

https://www.tiktok.com/@romanoautodealerships7/video/7610588667043663118?is_from_webapp=1&sender_device=pc&web_id=7626554252194973191

https://www.tiktok.com/@basilfamilydealerships/video/7619441031603293454?is_from_webapp=1&sender_device=pc&web_id=7626554252194973191","","","[]","","Reel","","false","","","","Planned","69e6cdbc0e5362b1431b8ca4","2026-04-21T01:07:08.989000","2026-04-21T01:07:08.989000","anonymous","anonymous","false"
"false","","","","","Informative Reel - Cannon Vs Cannon Alpha","2026-05-12","Informative Reel","","Informative Reel","","69d3590666100092a324027c","","","","","","","Hook:
Two tough utes. One big decision. Cannon vs Cannon Alpha.

Body:
Think of it like this, the Cannon is the hard-working all-rounder, built for buyers who want a capable, no-fuss, work-ready ute with strong diesel performance, everyday usability, a 12.3-inch touchscreen, and up to 3.5-tonne braked towing on relevant variants. 

The Cannon Alpha steps things up for drivers who want their ute to feel more premium, with a more luxurious cabin, a bigger 14.6-inch infotainment screen, hybrid and plug-in hybrid options, and the same serious towing confidence. 

So really, both are built to get the job done — it just comes down to whether you want practical and proven, or premium with a bit extra.

CTA:
Visit GWM Werribee and compare the Cannon and Cannon Alpha for yourself.","","","[]","","Reel","","false","","","","Planned","69e6cce460bdb171792ba056","2026-04-21T01:03:32.006000","2026-04-21T01:03:32.006000","anonymous","anonymous","false"
"false","","","","","Car of the Week - 2023 GWM Ora GT Auto Used ","2026-05-07","Car of the Week","","Car of the Week","","69d3590666100092a324027c","","","","","","","Hook:
This is your sign, if you’ve been thinking about making the switch to electric.

Body:
This isn’t your average used hatch. It’s a 2023 GWM Ora GT, fully electric, automatic, packed with style, sitting on 18-inch alloys, with room for five and a 5-star ANCAP safety rating. 

And at $31,580 drive away, it’s giving big main-character energy without the brand-new price tag. 

Honestly, for a Car of the Week pick like this, it’d be rude not to come take a look

CTA:
Visit Werribee GWM & see why this Ora GT is our Car of the Week.

https://www.werribeegwmhaval.com.au/cars/used-grey-2023-gwm-ora-pu154884

📹 VIDEO SHOT LIST

Shot 1:
Presenter hook full frame in front of the Ora GT with big “Car of the Week” energy.

Shot 2:
Hero exterior rolling shot and front three-quarter angle showing the grey paint and sporty shape.

Shot 3:
Quick-cut B-roll of the wheels, side profile, badge, charging port, and the Ora GT driving past.

Shot 4:
Interior detail shots of the screens, steering wheel, front seats, cabin styling, and EV controls.

Shot 5:
Presenter CTA walking toward camera with the Ora GT behind.","","","[]","","Reel","","false","","","","Planned","69e6c9f3989d1b694436f7cc","2026-04-21T00:50:59.457000","2026-04-21T00:52:00.481000","anonymous","anonymous","false"
"false","","","","","Informative Reel - H6 VS H6GT","2026-05-05","Informative Reel","","Informative Reel","","69d3590666100092a324027c","","","","","","","Hook:
Practical or sporty? Here’s the real difference between the H6 and H6GT.

Body:
The H6 is the more family-focused mid-size SUV, with petrol, hybrid and plug-in hybrid options designed for everyday driving and longer trips. 

The H6GT is the sportier, coupe-style option, with a more individual design and the choice of 2.0L turbo petrol or PHEV. 

Both bring smart tech, advanced safety, and a 7-year unlimited kilometre warranty — so it really comes down to your vibe.

CTA:
Enquire now or visit Werribee GWM Haval and pick your side — H6 or H6GT.

📹 VIDEO SHOT LIST

Shot 1:
Presenter hook full frame standing between an H6 and H6GT.

Shot 2:
Hero exterior shot of the H6 showing the front end, side profile, and family-SUV shape.

Shot 3:
Hero exterior shot of the H6GT showing the coupe-style roofline, sporty stance, and front three-quarter angle.

Shot 4:
Quick-cut interior and tech shots from both cars — screens, cabin layout, steering wheel, and driver display.

Shot 5:
Presenter CTA walking toward camera with both vehicles behind.","","","[]","","Reel","","false","","","","Planned","69e6c7ad3873742077839770","2026-04-21T00:41:17.167000","2026-04-21T00:42:40.590000","anonymous","anonymous","false"
"false","","","","","Culture Reel","2026-04-30","Culture Reel","","Culture Reel","","69d3590666100092a324027c","","","","","https://www.tiktok.com/@toomeymotorgroup/video/7603431414951906582?q=qna%20with%20the%20team%20car&t=1776731494721","","As the team what was your first Car vs What do you drive now 

https://www.tiktok.com/@toomeymotorgroup/video/7603431414951906582?q=qna%20with%20the%20team%20car&t=1776731494721","","","[]","","Reel","","false","","","","Planned","69e6c5bb539dbf3b982ff297","2026-04-21T00:32:59.620000","2026-04-21T00:33:03.894000","anonymous","anonymous","false"
"false","","","","","Car of the Week - Cannon Ute","2026-04-28","Car of the Week","","Car of the Week","","69d3590666100092a324027c","","","","","","","GWM Cannon

Hook:
Work Monday to Friday. Escape Saturday and Sunday. The GWM Cannon is built for both.

Body:
If you want a ute that can handle the workday and still look good on the weekend, the GWM Cannon ticks both boxes. 

You’ve got a 12.3-inch touchscreen with Apple CarPlay and Android Auto, a roomy dual-cab interior, advanced safety tech, and on selected variants, a 2.4L turbo-diesel pushing 135kW and 480Nm. 

Plus, it’s backed by a 7-year unlimited kilometre warranty… so honestly, it’d be rude not to take a look.

CTA:
Come in and see the Cannon range for yourself at GWM Werribee today.

📹 VIDEO SHOT LIST

Shot 1:
Presenter hook full frame with fast-paced delivery in front of the Cannon.

Shot 2:
Hero rolling shot and front three-quarter angle showing the grille, stance, and road presence.

Shot 3:
Quick-cut B-roll of the tray, wheels, side profile, and the Cannon driving past.

Shot 4:
Interior detail shots of the 12.3-inch screen, Apple CarPlay, dashboard, cabin space, and driver display.

Shot 5:
Presenter CTA walking toward camera with the Cannon behind.","","","[]","","Reel","","false","","","","Planned","69e6c4d81fb902d3f7271d0c","2026-04-21T00:29:12.140000","2026-04-21T00:29:12.140000","anonymous","anonymous","false"
